,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
91,ENSG00000213605,18.1754760357565,-1.30599564589079,0.521764632208136,-3.41983714758758,0.000626586342437127,0.0467576782909333
92,ENSG00000213970,17.1696748676323,-1.78764167767161,0.529615567049498,-4.29382001804434,1.75624864173782e-05,0.00828576095230514
93,ENSG00000214595,45.0940747320237,-1.70252460580517,0.50794447450571,-3.531785881648,0.000412763428285026,0.038534905879
94,ENSG00000215014,14.9411559020602,-1.63102741114651,0.528454107769956,-3.46357586688698,0.000533046255391659,0.0426703527441023
95,ENSG00000215375,36.8922214617259,-1.71626025506787,0.502744318580495,-3.57951715839577,0.000344229647037156,0.0350806866425093
96,ENSG00000215458,14.3037603782312,-1.2632874854944,0.51446925630647,-3.78072946206518,0.000156369522772241,0.0236599028508724
97,ENSG00000215878,12.2730316376445,-1.25837975985247,0.517922026534424,-3.39095892133859,0.000696485395778653,0.0487470107248994
98,ENSG00000221883,19.135049872558,-1.55858723386968,0.468606567141001,-3.39054712749675,0.000697532604773984,0.0487470107248994
99,ENSG00000221933,6.57381069194433,-1.09121664818846,0.505333302597293,-3.43951532689489,0.000582756785978873,0.0442367661977325
100,ENSG00000222035,15.501763139918,-1.35885311464539,0.523347134590723,-3.47201204997728,0.000516573149290268,0.0423133475913996
101,ENSG00000222721,10.448161634974,-1.32050275344105,0.518665853052159,-3.65637308871493,0.000255808967699007,0.0298158910399411
102,ENSG00000224074,11.3611874599326,-1.58220039211752,0.526492100611171,-4.01939735018431,5.83471958816456e-05,0.015336603980174
103,ENSG00000224297,11.2512324928492,-1.34333521646464,0.513822577420727,-4.6061345773245,4.10222959272068e-06,0.00516031181124313
104,ENSG00000224805,27.2958832417179,-1.63808254682065,0.529543815012095,-3.65789839077085,0.000254291812993505,0.0298158910399411
105,ENSG00000225465,38.8438702241941,-2.10797895632969,0.529470785314024,-5.38025910460685,7.43787075284816e-08,0.000436627806094696
106,ENSG00000226132,10.326491452138,-1.14100565798294,0.503765758884503,-4.04154207100621,5.31008517505325e-05,0.0146118609402911
107,ENSG00000226445,27.9909016192252,-1.94312966239164,0.518782045555856,-4.09741313193255,4.17792872968108e-05,0.0136893183805702
108,ENSG00000227304,46.6143850329378,-2.11875936619974,0.520212922803634,-4.57250340533935,4.81931389169846e-06,0.0053799929121013
109,ENSG00000227706,11.2130351574675,-1.37841546489692,0.520132239981511,-3.7592982096018,0.000170390644136579,0.0247995837511512
110,ENSG00000227775,22.063679957443,-1.95575103816617,0.514469166679519,-4.07987094046153,4.50607114100143e-05,0.0138642380604462
